movie_id,movie_embedding
1,"0.0,0.0,0.0,1.1701467,0.0,0.0,1.1806022,0.0"
2,"0.0,0.0,0.0,0.8633832,0.0,0.0,0.4194361,0.0"
3,"0.0,0.0,0.0,0.65516263,0.0,0.0,0.09654595,0.0"
4,"0.0,0.0,0.0,0.5718401,0.0,0.0,0.076603845,0.0"
5,"0.0,0.0,0.0,0.388727,0.0,0.0,0.0,0.0"
6,"0.0,0.0,0.0,1.089597,0.0,0.0,0.99201,0.0"
7,"0.0,0.0,0.0,0.8987301,0.0,0.0,0.5103022,0.0"
8,"0.0,0.0,0.0,0.8219093,0.0,0.0,0.32256392,0.0"
9,"0.0,0.0,0.0,0.6562948,0.0,0.0,0.0886372,0.0"
10,"0.0,0.0,0.0,0.92932665,0.0,0.0,0.5986766,0.0"
11,"0.0,0.0,0.0,0.996423,0.0,0.0,0.70859534,0.0"
12,"0.0,0.0,0.0,0.4182586,0.0,0.0,0.0,0.0"
13,"0.0,0.0,0.0,0.8927386,0.0,0.0,0.48187864,0.0"
14,"0.0,0.0,0.0,0.9209429,0.0,0.0,0.52329916,0.0"
15,"0.0,0.0,0.0,0.6270561,0.0,0.0,0.0468453,0.0"
16,"0.0,0.0,0.0,1.0191867,0.0,0.0,0.7616422,0.0"
17,"0.0,0.0,0.0,1.1509366,0.0,0.0,1.0959184,0.0"
18,"0.0,0.0,0.0,0.9776757,0.0,0.0,0.69588274,0.0"
19,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
20,"0.0,0.0,0.0,0.53126633,0.0,0.0,0.0,0.0"
21,"0.0,0.0,0.0,0.9248451,0.0,0.0,0.5283623,0.0"
22,"0.0,0.0,0.0,0.89400035,0.0,0.0,0.46407428,0.0"
23,"0.0,0.0,0.0,0.29746586,0.0,0.0,0.0,0.0"
24,"0.0,0.0,0.0,0.78827155,0.0,0.0,0.31838843,0.0"
25,"0.0,0.0,0.0,1.034465,0.0,0.0,0.7996819,0.0"
26,"0.0,0.0,0.0,0.9760997,0.0,0.0,0.66736794,0.0"
27,"0.0,0.0,0.0,0.72490305,0.0,0.0,0.24781087,0.0"
28,"0.0,0.0,0.0,1.0209225,0.0,0.0,0.79806906,0.0"
29,"0.0,0.0,0.0,1.0304261,0.0,0.0,0.8247817,0.0"
30,"0.0,0.0,0.0,0.96494603,0.0,0.0,0.6321593,0.0"
31,"0.0,0.0,0.0,0.65304303,0.0,0.0,0.1684017,0.0"
32,"0.0,0.0,0.0,1.119588,0.0,0.0,1.0164369,0.0"
33,"0.0,0.0,0.0,0.781074,0.0,0.0,0.2842419,0.0"
34,"0.0,0.0,0.0,1.0681158,0.0,0.0,0.89169663,0.0"
35,"0.0,0.0,0.0,0.77958626,0.0,0.0,0.31727478,0.0"
36,"0.0,0.0,0.0,1.0181632,0.0,0.0,0.76526946,0.0"
37,"0.0,0.0,0.0,0.936626,0.0,0.0,0.5816451,0.0"
38,"0.0,0.0,0.0,0.8980979,0.0,0.0,0.5068065,0.0"
39,"0.0,0.0,0.0,0.9524818,0.0,0.0,0.6481276,0.0"
40,"0.0,0.0,0.0,1.0055387,0.0,0.0,0.73281294,0.0"
41,"0.0,0.0,0.0,1.1249359,0.0,0.0,1.0284655,0.0"
42,"0.0,0.0,0.0,0.63573253,0.0,0.0,0.14521348,0.0"
43,"0.0,0.0,0.0,0.96649325,0.0,0.0,0.63411134,0.0"
44,"0.0,0.0,0.0,0.6492245,0.0,0.0,0.0763288,0.0"
45,"0.0,0.0,0.0,0.89028233,0.0,0.0,0.4535679,0.0"
46,"0.0,0.0,0.0,0.73557484,0.0,0.0,0.25647938,0.0"
