user_id,user_embedding
1,"0.0,0.0,0.04613711,1.1926033,0.07028765,0.0,0.605411,0.013817605"
2,"0.0,0.0014353087,0.043048747,1.0637186,0.06743857,0.0,0.6421093,0.016352152"
3,"0.0,0.0033037392,0.040773243,0.97798073,0.06511456,0.0,0.6662465,0.018988369"
4,"0.0,0.0,0.04682343,1.2176138,0.070758164,0.0,0.5993463,0.013347091"
5,"0.0,0.011601142,0.029326363,0.36758745,0.055491652,0.0,0.84313893,0.028189514"
6,"0.0,0.00081246067,0.04349882,1.0758439,0.067965165,0.0,0.6390802,0.015709683"
7,"0.0,0.0,0.05182387,1.4125314,0.075167105,0.0,0.5471032,0.008938145"
8,"0.0,0.009335374,0.033321287,0.642367,0.058367845,0.0,0.76225823,0.025127426"
9,"0.0,0.004954008,0.038372096,0.8462986,0.06329986,0.0,0.70418465,0.02038335"
10,"0.0,0.0,0.060873773,1.7681848,0.08340468,0.0,0.44940278,0.0007005781"
11,"0.0,0.011524543,0.029692594,0.41811445,0.05554859,0.0,0.82902503,0.027767692"
12,"0.0,0.0,0.046034344,1.1861993,0.069990955,0.0,0.60844016,0.0141143"
13,"0.0,0.009517065,0.032826964,0.60068,0.058194384,0.0,0.77440375,0.025237342"
14,"0.0,0.0021927198,0.04187551,1.0165825,0.06620465,0.0,0.65620375,0.017636508"
15,"0.0,0.01039513,0.031822383,0.57249594,0.057041228,0.0,0.7823439,0.02639599"
16,"0.0,0.008515109,0.0340172,0.6540475,0.059291672,0.0,0.75909907,0.024151996"
17,"0.0,0.0,0.06533362,1.9417157,0.08750962,0.0,0.40209717,0.0"
18,"0.0,0.0,0.05130981,1.3933768,0.07477874,0.0,0.5519001,0.009326512"
19,"0.0,0.0015770514,0.04271977,1.049892,0.06709487,0.0,0.6464064,0.016661001"
20,"0.0,0.0,0.04611312,1.1893706,0.07006577,0.0,0.6076924,0.0140394885"
21,"0.0,0.004180952,0.039432846,0.91747075,0.06402853,0.0,0.68366444,0.019640423"
22,"0.0,0.008014284,0.034840353,0.7124342,0.059916735,0.0,0.74181235,0.023697384"
23,"0.0,0.011349915,0.031094456,0.5761318,0.055910446,0.0,0.7811587,0.027427187"
24,"0.0,0.00046780612,0.044063818,1.1084961,0.068211816,0.0,0.62968946,0.015893437"
25,"0.0,0.0,0.053643208,1.4845216,0.07682361,0.0,0.527218,0.00728165"
26,"0.0,0.009111254,0.033824056,0.69484776,0.05863146,0.0,0.74582475,0.02509753"
27,"0.0,0.0,0.06413856,1.8966528,0.08629845,0.0,0.41454965,0.0"
28,"0.0,0.0071212384,0.03592819,0.7704306,0.06080876,0.0,0.7252909,0.022746589"
29,"0.0,0.0,0.04981976,1.3345315,0.07341702,0.0,0.56802654,0.010688234"
30,"0.0,0.0098892795,0.032509256,0.5816344,0.057930898,0.0,0.7801409,0.025458524"
31,"0.0,0.0,0.049526148,1.3244001,0.07328155,0.0,0.56989,0.010823706"
32,"0.0,0.0017618556,0.04266699,1.0538378,0.06696048,0.0,0.6444374,0.017144773"
33,"0.0,0.0019883597,0.0424372,1.0444939,0.066810764,0.0,0.6468857,0.017252779"
34,"0.0,0.00032073818,0.044241853,1.1160157,0.06836619,0.0,0.6274541,0.015739057"
35,"0.0,0.0007270826,0.043734454,1.095303,0.06788645,0.0,0.6335455,0.016199572"
36,"0.0,0.0,0.06654343,1.9895233,0.08840724,0.0,0.3898798,0.0"
37,"0.0,0.006297736,0.036793105,0.79559577,0.061757967,0.0,0.7186488,0.02163834"
38,"0.0,0.0034560906,0.040444754,0.96080625,0.064886875,0.0,0.6715068,0.01898279"
39,"0.0,0.009071379,0.03357252,0.66550684,0.058572885,0.0,0.75562215,0.024909407"
40,"0.0,0.009856971,0.03257097,0.59238046,0.057832822,0.0,0.7769527,0.025539989"
41,"0.0,0.005205049,0.038252756,0.8538201,0.06313651,0.0,0.70185757,0.02057131"
42,"0.0,0.0,0.05555091,1.5578791,0.0784192,0.0,0.5083369,0.0056860484"
43,"0.0,0.0009698067,0.043229733,1.0675414,0.06750802,0.0,0.64180046,0.016446408"
44,"0.0,0.0,0.04641119,1.2023517,0.07045131,0.0,0.60340536,0.01365394"
45,"0.0,0.011454688,0.030207383,0.48354673,0.055647504,0.0,0.80988306,0.027357677"
46,"0.0,0.0078042704,0.035113163,0.7353364,0.06011651,0.0,0.73509955,0.023537522"
47,"0.0,0.009825937,0.032681238,0.6264453,0.057723165,0.0,0.7668774,0.025698857"
48,"0.0,0.011831743,0.030972771,0.58399045,0.055780172,0.0,0.7771627,0.028137462"
49,"0.0,0.006931862,0.036089733,0.76628125,0.06107505,0.0,0.72681934,0.022454005"
50,"0.0,0.011425705,0.030124867,0.4363669,0.055894203,0.0,0.82273126,0.027615786"
51,"0.0,0.0043995855,0.03918949,0.8965837,0.06407029,0.0,0.6895542,0.01939328"
52,"0.0,0.00209116,0.042200483,1.0350432,0.06646006,0.0,0.650031,0.017645191"
53,"0.0,0.0,0.07883993,2.469804,0.099619314,0.0,0.2586624,0.0"
54,"0.0,0.0099335555,0.03243996,0.58837813,0.057735916,0.0,0.7779395,0.025662655"
55,"0.0,0.0,0.05051176,1.3629884,0.07412965,0.0,0.5593314,0.009975605"
56,"0.0,0.001770569,0.042359326,1.0392104,0.06647331,0.0,0.6500373,0.01763194"
57,"0.0,0.002393744,0.041801587,1.017769,0.066012174,0.0,0.65557575,0.018093076"
58,"0.0,0.0,0.055873238,1.572346,0.07886092,0.0,0.5030446,0.005244335"
59,"0.0,0.008291481,0.03451379,0.6869594,0.05972269,0.0,0.74959946,0.023599574"
60,"0.0,0.010941151,0.031194193,0.5367272,0.056571174,0.0,0.79294646,0.026694175"
61,"0.0,0.0051629674,0.038348913,0.8731899,0.063068636,0.0,0.6958966,0.02060885"
62,"0.0,0.0069487984,0.03603476,0.75656486,0.06109487,0.0,0.7295218,0.022384884"
63,"0.0,0.0070288377,0.03609804,0.7656867,0.061092373,0.0,0.7266557,0.02254462"
64,"0.0,0.0022642482,0.041825734,1.0175147,0.06615842,0.0,0.6555737,0.017823122"
65,"0.0,0.0,0.05596692,1.5760993,0.078954294,0.0,0.5016875,0.0051509645"
66,"0.0,0.00921799,0.033355758,0.63987887,0.058461886,0.0,0.7630252,0.025058469"
67,"0.0,0.0023222286,0.041575808,0.98389995,0.06640355,0.0,0.66527635,0.01716837"
68,"0.0,0.0015149433,0.042904288,1.0626363,0.06714603,0.0,0.64221936,0.016959218"
69,"0.0,0.0,0.0539108,1.4954137,0.077099815,0.0,0.5240098,0.007005438"
70,"0.0,0.0,0.04954806,1.3237332,0.073131174,0.0,0.5713587,0.0109740775"
71,"0.0,0.002415238,0.041649815,1.0103852,0.0659842,0.0,0.65753806,0.017980397"
72,"0.0,0.005534675,0.038002007,0.85926497,0.062850356,0.0,0.6993855,0.020716516"
73,"0.0,0.008200389,0.034673434,0.7221934,0.059570722,0.0,0.73925936,0.023909029"
74,"0.0,0.0033542346,0.040826913,0.9806186,0.06526276,0.0,0.66482127,0.018802047"
75,"0.0,0.0,0.058754124,1.6870787,0.08157998,0.0,0.4704935,0.00252527"
76,"0.0,0.00013664458,0.044457134,1.1242226,0.06858855,0.0,0.6254427,0.015516707"
77,"0.0,0.01143732,0.03036317,0.48800725,0.055828955,0.0,0.80759996,0.02747872"
78,"0.0,0.004053341,0.03964935,0.92306805,0.06438549,0.0,0.68215895,0.019237978"
